ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	6	3	""	""	1455	1660	200	35	78	104	133	29	29	32	16	50	34	25	0	98765	2.875	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	49	6	49	1272	4368	100	42
0	0	0	1	7	3	""	""	1805	1695	200	37	52	54	103	33	33	37	32	86	19	10	0	65627	0.469	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	19	4	19	1272	4502	100	43
0	0	0	1	8	3	""	""	2065	1695	200	36	44	38	86	35	35	43	76	176	2	0	0	55336	0.013	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	9	1	9	1272	3908	100	44
0	0	0	1	9	3	""	""	2325	1695	200	34	43	28	65	35	35	42	73	173	4	1	0	54206	0.014	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	8	-1	8	1272	3908	100	45
0	0	0	1	10	3	""	""	2585	1695	200	34	49	66	134	34	34	38	37	97	15	7	0	62580	0.297	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	15	0	15	1272	3908	100	46
0	0	0	1	11	3	""	""	2845	1695	200	40	54	36	66	34	34	39	32	82	19	12	0	68486	0.469	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	20	6	20	1272	3908	100	47
0	0	0	1	12	3	""	""	3105	1695	200	35	46	54	117	33	33	35	18	51	20	14	0	58303	0.611	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	13	2	13	1272	3726	100	48
0	0	0	1	13	3	""	""	3365	1695	200	31	32	9	28	30	30	47	91	193	0	0	0	40932	-0.165	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3341	100	49
0	0	0	1	14	3	""	""	3625	1695	200	30	37	71	191	30	30	34	42	123	2	1	0	46440	0.071	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	7	0	7	1272	3341	100	50
0	0	0	1	15	3	""	""	3885	1695	200	32	35	14	40	31	31	37	51	137	1	0	0	43943	-0.039	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3487	100	51
